<<<<<<< HEAD
Country Code,Year,City,Country Name,Temp_AvgTemperature,City_Longitude,City_Latitude,City_Population,City_Land_Area,City_HDI,City_GINI,City_Overall Score (GDP),City_Property Rights,City_Government Integrity,City_Judicial Effectiveness,City_Tax Burden,City_Government Spending,City_Fiscal Health,City_Business Freedom,City_Labor Freedom,City_Monetary Freedom,City_Trade Freedom,City_Investment Freedom,City_Financial Freedom
ARE,2017,Dubai,United Arab Emirates,86.01397260273973,,,,,,,,,,,,,,,,,,,
ARE,2018,Dubai,United Arab Emirates,85.75041782729804,55.2708,25.2048,3264087.5,3694.7517170893043,0.889,26.0,77.6,76.3,77.3,83.4,98.4,70.9,99.0,79.9,81.1,80.2,84.3,40.0,60.0
ARG,2012,Buenos Aires,Argentina,63.725136612021885,-58.381593099999996,-34.603723200000005,3016817.0,202.0,0.8340000000000001,41.3,48.0,20.0,29.0,39.6,65.5,56.9,56.4,61.0,48.9,60.7,67.6,40.0,30.0
ARG,2013,Buenos Aires,Argentina,62.88054794520547,-58.381593099999996,-34.603723200000005,3016817.0,202.0,0.835,40.9,46.7,15.0,30.0,39.6,64.3,52.1,56.4,60.1,47.4,60.4,67.6,40.0,30.0
ARG,2014,Buenos Aires,Argentina,63.61369863013696,-58.381593099999996,-34.603723200000005,3016817.0,202.0,0.836,41.6,44.6,15.0,29.5,39.6,63.5,49.9,56.4,53.9,44.9,60.0,68.9,30.0,30.0
ARG,2015,Buenos Aires,Argentina,63.8255494505495,-58.381593099999996,-34.603723200000005,3016817.0,202.0,0.84,41.75,44.1,15.0,34.0,39.6,66.8,41.2,56.4,52.8,43.3,59.6,68.8,30.0,30.0
ARG,2016,Buenos Aires,Argentina,62.19393939393938,-58.381593099999996,-34.603723200000005,3016817.0,202.0,0.8390000000000001,42.0,43.8,15.0,34.0,39.6,66.1,51.3,56.4,56.0,43.9,44.0,67.4,30.0,30.0
ARG,2017,Buenos Aires,Argentina,64.13780821917805,-58.381593099999996,-34.603723200000005,3016817.0,202.0,0.843,41.1,50.4,32.4,38.2,39.6,62.6,54.6,56.4,57.3,46.1,50.9,66.7,50.0,50.0
ARG,2018,Buenos Aires,Argentina,63.4747222222223,,,,,,,,,,,,,,,,,,,
AUS,2012,Brisbane,Australia,68.17377049180327,,,,,,,,,,,,,,,,,,,
AUS,2013,Brisbane,Australia,68.99232876712333,,,,,,,,,,,,,,,,,,,
AUS,2014,Brisbane,Australia,69.4538461538462,,,,,,,,,,,,,,,,,,,
AUS,2015,Brisbane,Australia,68.90384615384616,,,,,,,,,,,,,,,,,,,
AUS,2016,Brisbane,Australia,69.9297520661158,,,,,,,,,,,,,,,,,,,
AUS,2017,Brisbane,Australia,70.03506849315065,,,,,,,,,,,,,,,,,,,
AUS,2018,Brisbane,Australia,69.11250000000001,,,,,,,,,,,,,,,,,,,
AUS,2012,Canberra,Australia,54.41885245901637,,,,,,,,,,,,,,,,,,,
AUS,2013,Canberra,Australia,56.44917582417582,,,,,,,,,,,,,,,,,,,
AUS,2014,Canberra,Australia,56.6247252747253,149.1244,-35.3075,416250.0,2358.0,0.9329999999999999,34.4,82.0,90.0,87.7,90.93333333333334,64.2,62.6,85.03333333333332,94.6,79.2,80.5,86.4,85.0,90.0
AUS,2015,Canberra,Australia,55.895329670329645,149.1244,-35.3075,416250.0,2358.0,0.938,34.4,81.4,90.0,81.0,90.93333333333334,63.7,61.8,85.03333333333332,94.1,81.6,85.3,86.4,80.0,90.0
AUS,2016,Canberra,Australia,57.18646408839777,149.1244,-35.3075,416250.0,2358.0,0.9390000000000001,34.4,80.3,90.0,80.0,90.93333333333334,63.2,62.0,85.03333333333332,89.4,77.2,85.2,86.4,80.0,90.0
AUS,2017,Canberra,Australia,56.417534246575364,149.1244,-35.3075,416250.0,2358.0,0.941,34.4,81.0,81.7,74.8,92.9,63.2,59.0,84.6,89.3,84.1,86.4,86.2,80.0,90.0
AUS,2018,Canberra,Australia,57.07900552486186,149.1244,-35.3075,416250.0,2358.0,0.943,34.4,80.9,78.7,77.4,93.4,63.0,61.2,84.3,89.1,79.7,87.4,86.2,80.0,90.0
AUS,2012,Melbourne,Australia,64.79371584699452,144.96328,-37.814107,154863.4,38.0,0.937,34.55,83.1,90.0,87.0,90.93333333333334,63.4,67.1,85.03333333333332,91.9,90.6,84.5,86.2,80.0,90.0
AUS,2013,Melbourne,Australia,66.36373626373631,,,,,,,,,,,,,,,,,,,
AUS,2014,Melbourne,Australia,66.05054945054951,144.96328,-37.814107,154863.4,38.0,0.9329999999999999,34.4,82.0,90.0,87.7,90.93333333333334,64.2,62.6,85.03333333333332,94.6,79.2,80.5,86.4,85.0,90.0
AUS,2015,Melbourne,Australia,65.69587912087913,144.96328,-37.814107,154863.4,38.0,0.938,34.55,81.4,90.0,81.0,90.93333333333334,63.7,61.8,85.03333333333332,94.1,81.6,85.3,86.4,80.0,90.0
AUS,2016,Melbourne,Australia,66.76049723756906,,,,,,,,,,,,,,,,,,,
AUS,2017,Melbourne,Australia,66.47032967032965,,,,,,,,,,,,,,,,,,,
AUS,2018,Melbourne,Australia,66.1673130193906,,,,,,,,,,,,,,,,,,,
AUS,2012,Perth,Australia,65.8650273224044,,,,,,,,,,,,,,,,,,,
AUS,2013,Perth,Australia,66.09123287671234,,,,,,,,,,,,,,,,,,,
AUS,2014,Perth,Australia,66.04862637362636,,,,,,,,,,,,,,,,,,,
AUS,2015,Perth,Australia,66.24340659340658,115.861,-31.9526,29764.0,3694.7517170893043,0.938,34.48571428571428,81.4,90.0,81.0,91.3813008130082,63.7,61.8,85.11544715447155,94.1,81.6,85.3,86.4,80.0,90.0
AUS,2016,Perth,Australia,64.34834254143645,,,,,,,,,,,,,,,,,,,
AUS,2017,Perth,Australia,65.43013698630136,,,,,,,,,,,,,,,,,,,
AUS,2018,Perth,Australia,64.97617728531858,,,,,,,,,,,,,,,,,,,
AUS,2012,Sydney,Australia,58.02704918032789,,,,,,,,,,,,,,,,,,,
AUS,2013,Sydney,Australia,58.993956043956025,151.20699019999998,-33.8674869,227878.8,26.0,0.9309999999999999,34.48571428571428,82.6,90.0,88.0,90.93333333333334,66.4,62.8,85.03333333333332,95.5,83.5,83.8,86.2,80.0,90.0
AUS,2014,Sydney,Australia,59.242032967032976,,,,,,,,,,,,,,,,,,,
AUS,2015,Sydney,Australia,58.57967032967036,151.20699019999998,-33.8674869,227878.8,26.0,0.938,34.48571428571428,81.4,90.0,81.0,90.93333333333334,63.7,61.8,85.03333333333332,94.1,81.6,85.3,86.4,80.0,90.0
AUS,2016,Sydney,Australia,58.81074380165289,151.20699019999998,-33.8674869,227878.8,26.0,0.9390000000000001,34.48571428571428,80.3,90.0,80.0,90.93333333333334,63.2,62.0,85.03333333333332,89.4,77.2,85.2,86.4,80.0,90.0
AUS,2017,Sydney,Australia,58.93342465753427,,,,,,,,,,,,,,,,,,,
AUS,2018,Sydney,Australia,59.018836565096954,,,,,,,,,,,,,,,,,,,
AUT,2012,Vienna,Austria,51.911475409836065,,,,,,,,,,,,,,,,,,,
AUT,2013,Vienna,Austria,51.42630136986303,,,,,,,,,,,,,,,,,,,
AUT,2014,Vienna,Austria,53.35302197802191,,,,,,,,,,,,,,,,,,,
AUT,2015,Vienna,Austria,53.472802197802224,,,,,,,,,,,,,,,,,,,
AUT,2016,Vienna,Austria,52.10826446280993,,,,,,,,,,,,,,,,,,,
AUT,2017,Vienna,Austria,52.35150684931506,,,,,,,,,,,,,,,,,,,
AUT,2018,Vienna,Austria,53.7889502762431,,,,,,,,,,,,,,,,,,,
BEL,2012,Brussels,Belgium,50.75737704918034,,,,,,,,,,,,,,,,,,,
BEL,2013,Brussels,Belgium,49.85534246575341,,,,,,,,,,,,,,,,,,,
BEL,2014,Brussels,Belgium,53.12609890109893,4.348780000000001,50.8505,182190.0,3694.7517170893043,0.9179999999999999,28.1,69.9,80.0,74.2,67.76822911104446,44.8,14.8,64.32249647213446,89.9,72.7,79.5,87.8,85.0,70.0
BEL,2015,Brussels,Belgium,51.92609890109894,,,,,,,,,,,,,,,,,,,
BEL,2016,Brussels,Belgium,51.561049723756874,,,,,,,,,,,,,,,,,,,
BEL,2017,Brussels,Belgium,52.132328767123305,,,,,,,,,,,,,,,,,,,
BEL,2018,Brussels,Belgium,53.05734072022163,,,,,,,,,,,,,,,,,,,
BEN,2012,Cotonou,Benin,81.21366120218576,,,,,,,,,,,,,,,,,,,
BEN,2013,Cotonou,Benin,81.60384615384619,,,,,,,,,,,,,,,,,,,
BEN,2014,Cotonou,Benin,81.62576177285317,,,,,,,,,,,,,,,,,,,
BEN,2015,Cotonou,Benin,81.56098901098893,,,,,,,,,,,,,,,,,,,
BEN,2016,Cotonou,Benin,82.17817679558006,,,,,,,,,,,,,,,,,,,
BEN,2017,Cotonou,Benin,82.15342465753416,,,,,,,,,,,,,,,,,,,
BEN,2018,Cotonou,Benin,82.20698324022342,,,,,,,,,,,,,,,,,,,
BGR,2012,Sofia,Bulgaria,53.203551912568265,,,,,,,,,,,,,,,,,,,
BGR,2013,Sofia,Bulgaria,53.48493150684929,,,,,,,,,,,,,,,,,,,
BGR,2014,Sofia,Bulgaria,53.13598901098903,,,,,,,,,,,,,,,,,,,
BGR,2015,Sofia,Bulgaria,53.37005494505496,23.3219,42.6977,1402665.5,3694.7517170893043,0.809,38.6,66.8,30.0,41.0,42.5,91.0,64.5,94.3,68.5,76.6,83.2,88.0,65.0,60.0
BGR,2016,Sofia,Bulgaria,53.37292817679557,,,,,,,,,,,,,,,,,,,
BGR,2017,Sofia,Bulgaria,52.65397260273972,,,,,,,,,,,,,,,,,,,
BGR,2018,Sofia,Bulgaria,53.04238227146817,23.3219,42.6977,1402665.5,3694.7517170893043,0.813,41.3,68.3,63.6,38.2,42.5,90.9,60.5,94.3,64.3,66.1,82.8,86.9,70.0,60.0
BHR,2012,Manama,Bahrain,81.68415300546445,,,,,,,,,,,,,,,,,,,
BHR,2013,Manama,Bahrain,81.20438356164384,,,,,,,,,,,,,,,,,,,
BHR,2014,Manama,Bahrain,82.07390109890108,,,,,,,,,,,,,,,,,,,
BHR,2015,Manama,Bahrain,82.61538461538458,,,,,,,,,,,,,,,,,,,
BHR,2016,Manama,Bahrain,82.12790055248622,,,,,,,,,,,,,,,,,,,
BHR,2017,Manama,Bahrain,82.63589041095887,,,,,,,,,,,,,,,,,,,
BHR,2018,Manama,Bahrain,83.29861495844874,,,,,,,,,,,,,,,,,,,
BHS,2012,Nassau,Bahamas,78.61584699453556,,,,,,,,,,,,,,,,,,,
BHS,2013,Nassau,Bahamas,78.17452054794518,,,,,,,,,,,,,,,,,,,
BHS,2014,Nassau,Bahamas,78.6090659340659,,,,,,,,,,,,,,,,,,,
BHS,2015,Nassau,Bahamas,79.40412087912088,,,,,,,,,,,,,,,,,,,
BHS,2016,Nassau,Bahamas,79.34111111111109,,,,,,,,,,,,,,,,,,,
BHS,2017,Nassau,Bahamas,80.40767123287678,,,,,,,,,,,,,,,,,,,
BHS,2018,Nassau,Bahamas,79.06972222222218,,,,,,,,,,,,,,,,,,,
BLR,2012,Minsk,Belarus,45.111748633879756,,,,,,,,,,,,,,,,,,,
BLR,2013,Minsk,Belarus,46.319999999999965,,,,,,,,,,,,,,,,,,,
BLR,2014,Minsk,Belarus,46.82060439560437,,,,,,,,,,,,,,,,,,,
BLR,2015,Minsk,Belarus,48.24945054945055,,,,,,,,,,,,,,,,,,,
BLR,2016,Minsk,Belarus,46.41215469613259,,,,,,,,,,,,,,,,,,,
BLR,2017,Minsk,Belarus,46.09578313253013,,,,,,,,,,,,,,,,,,,
BLR,2018,Minsk,Belarus,44.421305841924344,,,,,,,,,,,,,,,,,,,
BLZ,2012,Belize City,Belize,81.09836065573772,,,,,,,,,,,,,,,,,,,
BLZ,2013,Belize City,Belize,80.76136986301373,,,,,,,,,,,,,,,,,,,
BLZ,2014,Belize City,Belize,80.82754820936641,,,,,,,,,,,,,,,,,,,
BLZ,2015,Belize City,Belize,81.66758241758244,,,,,,,,,,,,,,,,,,,
BLZ,2016,Belize City,Belize,81.31988950276244,,,,,,,,,,,,,,,,,,,
BLZ,2017,Belize City,Belize,81.25999999999995,,,,,,,,,,,,,,,,,,,
BLZ,2018,Belize City,Belize,81.01444444444446,,,,,,,,,,,,,,,,,,,
BOL,2012,La Paz,Bolivia,45.306557377049174,-68.15,-16.5,798.0,2010.0,0.675,46.6,50.2,10.0,28.0,67.76822911104446,87.0,62.2,64.32249647213446,56.5,40.8,72.8,74.3,20.0,50.0
BOL,2013,La Paz,Bolivia,46.01377410468321,,,,,,,,,,,,,,,,,,,
BOL,2014,La Paz,Bolivia,46.26022099447516,,,,,,,,,,,,,,,,,,,
BOL,2015,La Paz,Bolivia,46.12060439560439,,,,,,,,,,,,,,,,,,,
BOL,2016,La Paz,Bolivia,46.909392265193304,,,,,,,,,,,,,,,,,,,
BOL,2017,La Paz,Bolivia,46.22876712328765,,,,,,,,,,,,,,,,,,,
BOL,2018,La Paz,Bolivia,45.42472222222222,,,,,,,,,,,,,,,,,,,
BRA,2012,Brasilia,Brazil,71.36748633879776,,,,,,,,,,,,,,,,,,,
BRA,2013,Brasilia,Brazil,71.67698630136987,,,,,,,,,,,,,,,,,,,
BRA,2014,Brasilia,Brazil,73.4559228650138,,,,,,,,,,,,,,,,,,,
BRA,2015,Brasilia,Brazil,71.24065934065933,,,,,,,,,,,,,,,,,,,
BRA,2016,Brasilia,Brazil,71.96712707182317,,,,,,,,,,,,,,,,,,,
BRA,2017,Brasilia,Brazil,71.67808219178079,,,,,,,,,,,,,,,,,,,
BRA,2018,Brasilia,Brazil,69.85166666666672,,,,,,,,,,,,,,,,,,,
BRA,2012,Rio de Janeiro,Brazil,76.23469945355191,-43.1970773,-22.9082998,6498578.0,1224.6,0.735,53.5,57.9,50.0,37.0,49.7,69.1,54.8,22.8,53.7,59.1,75.8,69.7,50.0,60.0
BRA,2013,Rio de Janeiro,Brazil,76.60109589041096,,,,,,,,,,,,,,,,,,,
BRA,2014,Rio de Janeiro,Brazil,76.82231404958675,,,,,,,,,,,,,,,,,,,
BRA,2015,Rio de Janeiro,Brazil,77.32747252747257,,,,,,,,,,,,,,,,,,,
BRA,2016,Rio de Janeiro,Brazil,76.63093922651935,,,,,,,,,,,,,,,,,,,
BRA,2017,Rio de Janeiro,Brazil,76.4468493150684,-43.1970773,-22.9082998,6498578.0,1224.6,0.7609999999999999,53.3,52.9,55.0,33.4,49.7,70.1,53.1,22.8,61.3,52.3,67.0,69.4,50.0,50.0
BRA,2018,Rio de Janeiro,Brazil,76.85555555555555,,,,,,,,,,,,,,,,,,,
BRA,2012,Sao Paulo,Brazil,68.92185792349726,,,,,,,,,,,,,,,,,,,
BRA,2013,Sao Paulo,Brazil,67.93095890410957,,,,,,,,,,,,,,,,,,,
BRA,2014,Sao Paulo,Brazil,69.63140495867766,,,,,,,,,,,,,,,,,,,
BRA,2015,Sao Paulo,Brazil,69.55714285714285,,,,,,,,,,,,,,,,,,,
BRA,2016,Sao Paulo,Brazil,68.18287292817679,,,,,,,,,,,,,,,,,,,
BRA,2017,Sao Paulo,Brazil,68.34684931506852,,,,,,,,,,,,,,,,,,,
BRA,2018,Sao Paulo,Brazil,68.24072022160664,,,,,,,,,,,,,,,,,,,
BRB,2012,Bridgetown,Barbados,80.63524590163935,,,,,,,,,,,,,,,,,,,
BRB,2013,Bridgetown,Barbados,80.76575342465755,,,,,,,,,,,,,,,,,,,
BRB,2014,Bridgetown,Barbados,80.65879120879121,,,,,,,,,,,,,,,,,,,
BRB,2015,Bridgetown,Barbados,81.43296703296701,,,,,,,,,,,,,,,,,,,
BRB,2016,Bridgetown,Barbados,81.57486187845302,,,,,,,,,,,,,,,,,,,
BRB,2017,Bridgetown,Barbados,80.69087136929463,,,,,,,,,,,,,,,,,,,
BRB,2018,Bridgetown,Barbados,79.15827338129498,,,,,,,,,,,,,,,,,,,
CAF,2012,Bangui,Central African Republic,79.10054644808746,,,,,,,,,,,,,,,,,,,
CAF,2013,Bangui,Central African Republic,78.76510989010995,,,,,,,,,,,,,,,,,,,
CAF,2014,Bangui,Central African Republic,78.76620111731849,,,,,,,,,,,,,,,,,,,
CAF,2015,Bangui,Central African Republic,79.08022598870053,,,,,,,,,,,,,,,,,,,
CAF,2016,Bangui,Central African Republic,79.28867403314912,,,,,,,,,,,,,,,,,,,
CAF,2017,Bangui,Central African Republic,79.36164383561645,,,,,,,,,,,,,,,,,,,
CAF,2018,Bangui,Central African Republic,78.48305555555558,,,,,,,,,,,,,,,,,,,
CAN,2012,Calgary,Canada,40.94054794520548,,,,,,,,,,,,,,,,,,,
CAN,2013,Calgary,Canada,40.80054794520549,,,,,,,,,,,,,,,,,,,
CAN,2014,Calgary,Canada,30.964375,,,,,,,,,,,,,,,,,,,
CAN,2012,Edmonton,Canada,40.073224043715896,-113.4909267,53.544389,934644.6,684.0,0.9059999999999999,33.5,79.9,90.0,89.0,75.76666666666667,79.2,41.7,81.53333333333333,96.6,81.8,77.3,87.9,75.0,80.0
CAN,2013,Edmonton,Canada,39.59452054794518,-113.4909267,53.544389,934644.6,684.0,0.9129999999999999,33.8,79.4,90.0,87.0,75.76666666666667,79.8,44.8,81.53333333333333,91.7,82.3,75.2,88.2,75.0,80.0
CAN,2014,Edmonton,Canada,39.354395604395606,-113.4909267,53.544389,934644.6,684.0,0.9179999999999999,33.2,80.2,90.0,87.7,75.76666666666667,79.7,47.3,81.53333333333333,89.3,83.1,76.3,88.3,80.0,80.0
CAN,2015,Edmonton,Canada,23.514285714285716,-113.4909267,53.544389,934644.6,684.0,0.9209999999999999,33.7,79.1,90.0,81.0,75.76666666666667,79.9,48.3,81.53333333333333,89.0,76.1,77.9,88.4,80.0,80.0
CAN,2012,Halifax,Canada,46.166120218579216,,,,,,,,,,,,,,,,,,,
CAN,2013,Halifax,Canada,43.788219178082166,,,,,,,,,,,,,,,,,,,
CAN,2014,Halifax,Canada,33.55590062111802,,,,,,,,,,,,,,,,,,,
CAN,2012,Ottawa,Canada,46.35437158469948,-75.697193,45.42153,726456.04325,2796.0,0.9059999999999999,33.5,79.9,90.0,89.0,77.1,79.2,41.7,81.2,96.6,81.8,77.3,87.9,75.0,80.0
CAN,2013,Ottawa,Canada,43.55643835616436,,,,,,,,,,,,,,,,,,,
CAN,2014,Ottawa,Canada,31.720496894409948,,,,,,,,,,,,,,,,,,,
CAN,2012,Quebec,Canada,43.77102272727271,,,,,,,,,,,,,,,,,,,
CAN,2013,Quebec,Canada,41.02273972602742,,,,,,,,,,,,,,,,,,,
CAN,2014,Quebec,Canada,40.42750000000001,,,,,,,,,,,,,,,,,,,
CAN,2015,Quebec,Canada,40.607438016528945,,,,,,,,,,,,,,,,,,,
CAN,2016,Quebec,Canada,41.30640668523679,,,,,,,,,,,,,,,,,,,
CAN,2017,Quebec,Canada,40.725895316804404,,,,,,,,,,,,,,,,,,,
CAN,2018,Quebec,Canada,40.742296918767494,,,,,,,,,,,,,,,,,,,
CAN,2012,Regina,Canada,39.22622950819666,,,,,,,,,,,,,,,,,,,
CAN,2013,Regina,Canada,35.01260273972601,,,,,,,,,,,,,,,,,,,
CAN,2014,Regina,Canada,35.378356164383575,,,,,,,,,,,,,,,,,,,
CAN,2015,Regina,Canada,40.180219780219765,,,,,,,,,,,,,,,,,,,
CAN,2016,Regina,Canada,41.253846153846155,,,,,,,,,,,,,,,,,,,
CAN,2017,Regina,Canada,39.19315068493152,,,,,,,,,,,,,,,,,,,
CAN,2018,Regina,Canada,36.679063360881564,,,,,,,,,,,,,,,,,,,
CAN,2012,Toronto,Canada,51.253551912568305,-79.3831843,43.653226000000004,2833632.0,634.0,0.9059999999999999,33.5,79.9,90.0,89.0,77.1,79.2,41.7,81.2,96.6,81.8,77.3,87.9,75.0,80.0
CAN,2013,Toronto,Canada,47.68273972602742,-79.3831843,43.653226000000004,2833632.0,634.0,0.9129999999999999,33.8,79.4,90.0,87.0,77.1,79.8,44.8,81.2,91.7,82.3,75.2,88.2,75.0,80.0
CAN,2014,Toronto,Canada,34.405590062111806,-79.3831843,43.653226000000004,2833632.0,634.0,0.9179999999999999,33.2,80.2,90.0,87.7,77.1,79.7,47.3,81.2,89.3,83.1,76.3,88.3,80.0,80.0
CAN,2012,Vancouver,Canada,50.63934426229514,-123.11392679999999,49.261226,631418.0,115.0,0.9059999999999999,33.5,79.9,90.0,89.0,75.76666666666667,79.2,41.7,81.53333333333333,96.6,81.8,77.3,87.9,75.0,80.0
CAN,2013,Vancouver,Canada,50.795890410958904,-123.11392679999999,49.261226,631418.0,115.0,0.9129999999999999,33.8,79.4,90.0,87.0,75.76666666666667,79.8,44.8,81.53333333333333,91.7,82.3,75.2,88.2,75.0,80.0
CAN,2014,Vancouver,Canada,46.674534161490705,-123.11392679999999,49.261226,631418.0,115.0,0.9179999999999999,33.2,80.2,90.0,87.7,75.76666666666667,79.7,47.3,81.53333333333333,89.3,83.1,76.3,88.3,80.0,80.0
CAN,2012,Winnipeg,Canada,41.28743169398903,,,,,,,,,,,,,,,,,,,
CAN,2013,Winnipeg,Canada,35.69150684931509,,,,,,,,,,,,,,,,,,,
CAN,2014,Winnipeg,Canada,21.194409937888203,,,,,,,,,,,,,,,,,,,
CHE,2012,Bern,Switzerland,48.887978142076534,,,,,,,,,,,,,,,,,,,
CHE,2013,Bern,Switzerland,47.89287671232874,,,,,,,,,,,,,,,,,,,
CHE,2014,Bern,Switzerland,50.25000000000003,,,,,,,,,,,,,,,,,,,
CHE,2015,Bern,Switzerland,49.96373626373627,,,,,,,,,,,,,,,,,,,
CHE,2016,Bern,Switzerland,49.13563535911598,,,,,,,,,,,,,,,,,,,
CHE,2017,Bern,Switzerland,49.494520547945214,,,,,,,,,,,,,,,,,,,
CHE,2018,Bern,Switzerland,51.19111111111112,,,,,,,,,,,,,,,,,,,
CHE,2012,Geneva,Switzerland,52.03169398907104,,,,,,,,,,,,,,,,,,,
CHE,2013,Geneva,Switzerland,50.63068493150689,,,,,,,,,,,,,,,,,,,
CHE,2014,Geneva,Switzerland,53.23736263736263,,,,,,,,,,,,,,,,,,,
CHE,2015,Geneva,Switzerland,53.1324175824176,,,,,,,,,,,,,,,,,,,
CHE,2016,Geneva,Switzerland,52.12209944751378,,,,,,,,,,,,,,,,,,,
CHE,2017,Geneva,Switzerland,52.4649315068493,,,,,,,,,,,,,,,,,,,
CHE,2018,Geneva,Switzerland,54.31828254847648,,,,,,,,,,,,,,,,,,,
CHE,2012,Zurich,Switzerland,49.51174863387976,8.539182499999999,47.36864979999999,421304.0,92.0,0.9440000000000001,31.6,81.1,90.0,87.0,82.1,67.9,65.8,95.9,77.9,87.9,84.4,90.0,80.0,80.0
CHE,2013,Zurich,Switzerland,48.41150684931503,,,,,,,,,,,,,,,,,,,
CHE,2014,Zurich,Switzerland,51.12719780219779,8.539182499999999,47.36864979999999,421304.0,92.0,0.9420000000000001,32.5,81.6,90.0,88.1,82.1,68.9,65.7,95.9,75.4,87.4,85.2,90.0,85.0,80.0
CHE,2015,Zurich,Switzerland,51.10274725274725,,,,,,,,,,,,,,,,,,,
CHE,2016,Zurich,Switzerland,49.89088397790054,,,,,,,,,,,,,,,,,,,
CHE,2017,Zurich,Switzerland,50.35068493150684,,,,,,,,,,,,,,,,,,,
CHE,2018,Zurich,Switzerland,52.09388888888894,,,,,,,,,,,,,,,,,,,
CHN,2012,Beijing,China,53.6983606557377,,,,,,,,,,,,,,,,,,,
CHN,2013,Beijing,China,54.46,,,,,,,,,,,,,,,,,,,
CHN,2014,Beijing,China,56.824450549450546,,,,,,,,,,,,,,,,,,,
CHN,2015,Beijing,China,56.06483516483514,,,,,,,,,,,,,,,,,,,
CHN,2016,Beijing,China,55.92762430939224,,,,,,,,,,,,,,,,,,,
CHN,2017,Beijing,China,56.563287671232885,,,,,,,,,,,,,,,,,,,
CHN,2018,Beijing,China,55.8404432132964,,,,,,,,,,,,,,,,,,,
CHN,2012,Chengdu,China,62.79398907103824,,,,,,,,,,,,,,,,,,,
CHN,2013,Chengdu,China,65.21041095890412,,,,,,,,,,,,,,,,,,,
CHN,2014,Chengdu,China,63.95934065934063,,,,,,,,,,,,,,,,,,,
CHN,2015,Chengdu,China,65.49313186813184,,,,,,,,,,,,,,,,,,,
CHN,2016,Chengdu,China,65.19530386740334,,,,,,,,,,,,,,,,,,,
CHN,2017,Chengdu,China,64.91835616438357,,,,,,,,,,,,,,,,,,,
CHN,2018,Chengdu,China,64.86333333333329,,,,,,,,,,,,,,,,,,,
CHN,2012,Guangzhou,China,73.07377049180324,,,,,,,,,,,,,,,,,,,
CHN,2013,Guangzhou,China,73.32383561643832,,,,,,,,,,,,,,,,,,,
CHN,2014,Guangzhou,China,73.8508241758242,,,,,,,,,,,,,,,,,,,
CHN,2015,Guangzhou,China,74.59505494505495,,,,,,,,,,,,,,,,,,,
CHN,2016,Guangzhou,China,73.80110497237571,,,,,,,,,,,,,,,,,,,
CHN,2017,Guangzhou,China,74.46876712328763,,,,,,,,,,,,,,,,,,,
CHN,2018,Guangzhou,China,74.3213296398892,,,,,,,,,,,,,,,,,,,
CHN,2012,Shanghai,China,62.91256830601096,,,,,,,,,,,,,,,,,,,
CHN,2013,Shanghai,China,64.45150684931508,,,,,,,,,,,,,,,,,,,
CHN,2014,Shanghai,China,63.70164835164841,,,,,,,,,,,,,,,,,,,
CHN,2015,Shanghai,China,63.85219780219781,,,,,,,,,,,,,,,,,,,
CHN,2016,Shanghai,China,64.94309392265191,,,,,,,,,,,,,,,,,,,
